"Country Name","Country Code","Year","average_value_Current account balance (BoP, current US$)","average_value_Debt service (PPG and IMF only, % of exports of goods, services and primary income)","average_value_Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","average_value_Debt service on external debt, total (TDS, current US$)","average_value_Exports of goods, services and primary income (BoP, current US$)","average_value_External debt stocks (% of GNI)","average_value_External debt stocks, long-term (DOD, current US$)","average_value_External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","average_value_External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","average_value_External debt stocks, short-term (DOD, current US$)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_GNI (current US$)","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_IBRD loans and IDA credits (DOD, current US$)","average_value_IFC, private nonguaranteed (NFL, current US$)","average_value_IMF repurchases and charges (TDS, current US$)","average_value_Imports of goods, services and primary income (BoP, current US$)","average_value_Multilateral debt service (% of public and publicly guaranteed debt service)","average_value_Multilateral debt service (TDS, current US$)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received per capita (current US$)","average_value_Net financial flows, IDA (NFL, current US$)","average_value_Net financial flows, IMF concessional (NFL, current US$)","average_value_Net financial flows, IMF nonconcessional (NFL, current US$)","average_value_Net financial flows, RDB concessional (NFL, current US$)","average_value_Net financial flows, bilateral (NFL, current US$)","average_value_Net financial flows, multilateral (NFL, current US$)","average_value_Net financial flows, others (NFL, current US$)","average_value_Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","average_value_Net official development assistance received (current US$)","average_value_PNG, commercial banks and other creditors (NFL, current US$)","average_value_PPG, IDA (DOD, current US$)","average_value_PPG, official creditors (NFL, current US$)","average_value_Personal remittances, received (current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Present value of external debt (% of GNI)","average_value_Present value of external debt (% of exports of goods, services and primary income)","average_value_Present value of external debt (current US$)","average_value_Public and publicly guaranteed debt service (% of GNI)","average_value_Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","average_value_Short-term debt (% of exports of goods, services and primary income)","average_value_Short-term debt (% of total external debt)","average_value_Short-term debt (% of total reserves)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Total debt service (% of GNI)","average_value_Total debt service (% of exports of goods, services and primary income)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Use of IMF credit (DOD, current US$)"
"New Zealand","NZL","1970","","","","","","","","","","","146000000","6412636353.45503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257723141.94","",""
"OECD members","OED","1983","","","","","1855453794430.31","","","","","","38760062787.6026","9148007879261.24","","","0","","1861229799958.93","","","0.0233381954957191","2.04117673283864","","","","","","","","","2134979962.82578","","","","19290557067.453","20754725546.9275","","","","","","","","","","","","","","4.85224213417011",""
"OECD members","OED","1989","","","","","3454847851861.38","","","","","","177127953244.259","16682410519481.8","","","0","","3517675760135.19","","","0.011221819609147","1.70571013069464","","","","","","","","","1872070014.95362","","","","39105643938.032","72089653835.0069","","","","","","","","","","","","","","3.70162014321597",""
"OECD members","OED","2009","","","","","12991349806475.3","","","","","","760481370908.221","42979315031756.3","","","58888797.23","","12887660541489.7","","","0.0064932863863462","2.17411513175","","","","","","","","","2790770011.90187","","","","136774565724.479","709716163293.125","","","","","","","","","","","","","","8.35172555608853",""
"Panama","PAN","1972","","","","","","","","","","","","1494068100","2050000","","0","","","","","0.856721336245309","7.96120417610861","","","","","","","","","12800000.1907349","","","","","","","","","","","","","","6750000","","","","43128033.2355769","",""
"Panama","PAN","1990","209100000","","","","5577400000","","","","","","135500000","6214919600","126790000","","0","","5587600000","","","1.60468694328618","40.3610614545739","","","","","","","","","99730003.3569336","","","","109699996.9","-1000000","","","","","","","","","-16360000","","","","343513777.012704","0.737734505718457",""
"Peru","PER","1969","","","","","","","","","","","","6112812905.37209","4990000","","","","","","","0.541321984900071","2.52733440480304","","","","","","","","","33090000.1525879","","","","","","","","","","","","","","13070000","","","","167156800","",""
"Peru","PER","1971","","","178066790.3","547465246.1","","42.5491154056361","2843188441.8","1840300000","1002888441.8","563000000","-3220000","8013653511.46253","11010000","129268000","0","22698455.8","","14.6949042299888","26166744.3","0.479057390424184","2.77457261279595","","","-6650055.8","14464000","36629821.9","23346000","-1100000","40900000","38389999.3896484","40900000","","59975821.9","","","","","","2.22204254333305","","","16.5115","130.862265575903","20710000","6.83165606445199","","12.617486934236","430223332.541532","","3550239"
"Palau","PLW","2013","-29211556.508476","","","","155246260.402838","","","","","","18041109.837","240525000","29880000","","","","210410833.776219","","","14.7261191846774","2012.15691467053","","","","","","","","","35419998.1689453","","","","2359934.24851292","","","","","","","","","","5540000","","","","","",""
"Papua New Guinea","PNG","1986","-98097960.2002192","11.2057861036474","116803494.7","321872232.5","1194697375.63904","77.0886687478355","1907027236.5","673978000","1233049236.5","62000000","90804634.292244","2573810994.44101","231610000","211177372","0","17071737.8","1458733346.1232","18.3036443001221","21379296.2","9.96227012068525","61.2468804273234","-2000","","-16420193.1","998782.3","34416095.9","26139000","8587145.3","193884000","256410003.662109","193884000","111846372","60555567.8","7007307.053","0","","","","4.53815353778018","9.77682692552344","5.18959874393598","3.1248","13.7754251917097","20390000","12.505667012659","26.9417376369335","22.683991678127","450076851.619161","3.70247395371037","15089395.2"
