"Country Name","Country Code","Year","average_value_Air transport, freight (million ton-km)","average_value_Air transport, passengers carried","average_value_Air transport, registered carrier departures worldwide","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Container port traffic (TEU: 20 foot equivalent units)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Fixed broadband subscriptions","average_value_Fixed broadband subscriptions (per 100 people)","average_value_Fixed telephone subscriptions","average_value_Fixed telephone subscriptions (per 100 people)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_ICT service exports (% of service exports, BoP)","average_value_ICT service exports (BoP, current US$)","average_value_Individuals using the Internet (% of population)","average_value_Industrial design applications, nonresident, by count","average_value_Industrial design applications, resident, by count","average_value_Investment in ICT with private participation (current US$)","average_value_Investment in energy with private participation (current US$)","average_value_Investment in transport with private participation (current US$)","average_value_Investment in water and sanitation with private participation (current US$)","average_value_Liner shipping connectivity index (maximum value in 2004 = 100)","average_value_Mobile cellular subscriptions","average_value_Mobile cellular subscriptions (per 100 people)","average_value_Public private partnerships investment in ICT (current US$)","average_value_Public private partnerships investment in energy (current US$)","average_value_Public private partnerships investment in transport (current US$)","average_value_Public private partnerships investment in water and sanitation (current US$)","average_value_Rail lines (total route-km)","average_value_Railways, goods transported (million ton-km)","average_value_Railways, passengers carried (million passenger-km)","average_value_Renewable internal freshwater resources per capita (cubic meters)","average_value_Renewable internal freshwater resources, total (billion cubic meters)","average_value_Secure Internet servers","average_value_Secure Internet servers (per 1 million people)","average_value_Trademark applications, nonresident, by count","average_value_Trademark applications, resident, by count"
"Portugal","PRT","1975","67.5","1681300","32800","","","","","","","1075.82693955113","10.6999345855528","2.77544154751892","59.9009438370246","0","0","35.118213251098","","","778000","8.482114676","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Pacific island small states","PSS","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262.954149495563","",""
"Qatar","QAT","1979","14","456500","8300","","","","","","","8709.76546507321","10.0654252642174","0","0","94.4640161046804","0","5.53598389531958","","","22000","10.72276296","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Saudi Arabia","SAU","2005","1021.453","15933045","116280","","","","","","3732706","6615.04208799272","10.548817878313","0","0","56.4925847698213","0","30.0810792396266","67798","0.284671981","3844000","16.14028579","0.0676391322","6.6541162956","1.68873087898208","192533333.333333","12.70503599","","","","","","","36.24","14164184","59.47293905","","","","","1020","1192","399","","","","","",""
"Senegal","SEN","2005","0","449682","6441","","","","","","","160.232668294121","30.1493710691824","0","10.4952830188679","2.55503144654088","0","79.2452830188679","18028","0.162559165","266612","2.404050598","0.3921412755","3.8674128171","13.8393457864677","105466085.023593","4.786684083","","","","52910000","","","10.09","1730106","15.60043195","","52910000","","","","376","134","","","","","",""
"Slovenia","SVN","1992","1.7000000477","188400","3900","","","","","","","4943.1554652196","5.36292935839274","37.5810110174984","27.7300712896954","0.016202203499676","32.1694750486066","2.50324044069994","","","494268","24.64741886","","","0.0844475721323012","1200000","0","","","","","","","","3500","0.174532776","","","","","","","","9351.37425632282","18.67","","","",""
"Togo","TGO","1998","13.5","90500","1500","","","","","","","106.423144033256","9.96677740863787","0","57.1428571428571","0","0","42.8571428571429","","","31415","0.678151456","","","4.29529902146535","3266368.68142867","0.305583935","","","","","","","","7500","0.161901509","","","","","","","","","","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1995","3602.0000369103","71128400","1430600","","","","","","","1356.4718839014","16.0422197311208","4.47680878546552","65.0219741222695","11.0434232909289","2.39297621443865","14.2561810174806","","","41786585","8.95545437725109","","","6.67143497464881","2983890491.13092","0.106546549516723","2350","2888","","5527680000","2137720000","1263800000","","3626194","0.777328996793973","","","2137720000","1263800000","","","","","","","","",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","1991","674.900000669","18725100","211300","","","","","","","741.194127206093","11.9547490227549","0.988094868687956","11.7619502274813","41.9842027032669","0","45.1843884926405","","","8197042","3.56342630489236","","","","","0","","","","","","","","13482","0.0058609085645537","","","","","","","","","","","","",""
"Tonga","TON","1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Trinidad and Tobago","TTO","2018","41.138","2458183","33475","","","","","","358500","","","","","","","","342200","24.62148602","319401","22.98108491","","","","","","14","160","","","","","16.0929208801","1972595","141.9293402","","","","","","","","","","391","281.327144615823","1886","622"
"Uganda","UGA","2020","","","","","","","","","","","","","","","","","34596","0.075634539","90774","0.198452124","","","","","","","","","","","","","27688987","60.53427508","","","","","","","","","","1573","34.3892787652216","",""
"World","WLD","2001","110860.835000095","1655230214","22264220","","","","","","235075458","2380.43424885611","8.62298481889227","38.4475451840774","16.3093639407225","18.5898038149918","16.8874272496245","7.05049135319742","37087722","0.837601435731048","1034495800","16.6620436696291","14.1396862916677","14.5857256897764","5.61017478742608","","8.05907355321202","106126","255360","","","","","","960982997","15.4781195032738","","","","","","3982","1908","","","","","",""
